Qty,Designator,Footprint,Comment,LCSC Part#
1,R3,R2010,0.002,C76234
2,"RSENSE1, RSENSE2",R2512,0.01,C76242
3,"C2, C8, C9",C0603K,0.47uF (10V),
3,"R9, R25, R26",R0603,10,
1,R30,R0603,100,
2,"R5, R8",R0805,100,
11,"R6, R7, R11, R14, R15, R16, R17, R20, R23, R29, R32",R0603,100k,
7,"C4, CCT, CDT, CVC1, CVC2, CVC3, RST_CAP",C0603,100n,
3,"R10, R18, R28",R0603,10k,
1,L1,INDUCTOR_4.7UH,10µH/0.85A,
1,RCOP,R0603,1Meg,
6,"RCTL, RSEL, RVC1, RVC2, RVC3, RVINI",R0603,1k,
3,"C5, C6, C7",C0603,1n,
1,R4,R0603,2.2k,
1,CVSS,C0805,2.2uF,
4,"R12, R13, R19, R27",R0603,200,
1,R1,R0603,215k,
1,C3,C1206,22uF (10V),
1,D1,SOD-323,250mA/100V,
1,Q3,SOT23-3,4.3A/20V/54mΩ,C169763
1,C1,C1206,4.7uF (25V),
1,R2,R0603,470k,
4,"R21, R22, RDOP, RVMP",R0603,5.1k,
3,"Q4, Q6, Q8",SOT23-3,5.8A/30V/35mΩ,C30010
2,"R24, R31",R0603,50,
1,RVSS,R0603,51,
2,"T3, T4",SOT23,BC848,C8576
1,U$3,TTGO_ESP32,ESP32,
1,U$2,PQFN,IRFH6200,C151522
1,U3,DFN-10_DD,LT3973-3.3,
1,U2,SOIC127P600X175-8N,M24M02-DWMN3TP/K,
1,U$1,SON40P300X300X80-15N230X170,MAX17205G,C401140
1,U$6,TSSOP-16,S-8254A,
3,"Q1, Q2, Q5",POWERPAK,SI7997,
