Designator,Mid X,Mid Y,Layer,Rotation
C4,28.20,12.10,Top,180
C5,27.70,9.50,Top,270
C6,25.00,10.00,Top,180
C7,27.70,6.30,Top,270
C8,32.90,11.80,Top,90
C9,31.00,11.80,Top,90
CCT,19.50,22.90,Top,90
CDT,17.94,22.91,Top,90
CVC1,33.40,25.20,Top,270
CVC2,29.20,25.20,Top,90
CVC3,31.30,21.80,Top,90
CVSS,19.70,29.40,Top,90
Q3,11.90,19.35,Top,0
Q4,15.00,19.25,Top,180
Q6,4.55,22.90,Top,90
R2,7.20,19.00,Top,90
R3,31.80,15.30,Top,180
R4,1.80,16.70,Top,90
R5,24.60,7.90,Top,0
R6,7.20,15.80,Top,90
R7,1.80,19.90,Top,90
R8,24.60,5.80,Top,0
R9,25.00,12.10,Top,0
R10,33.40,8.55,Top,90
R11,7.20,22.10,Top,270
R12,9.30,22.10,Top,90
R13,14.44,23.95,Top,180
R14,11.90,17.06,Top,0
R15,11.90,22.70,Top,90
R16,14.44,21.90,Top,180
R17,15.00,16.10,Top,90
R18,9.30,15.80,Top,90
R19,15.00,9.80,Top,270
R20,15.00,12.90,Top,90
R21,12.00,12.90,Top,0
R22,7.70,12.90,Top,0
R23,6.80,28.90,Top,180
R27,11.99,15.00,Top,0
R28,14.30,6.80,Top,0
R29,9.30,19.00,Top,90
RCOP,16.30,32.40,Top,0
RCTL,29.20,18.70,Top,270
RDOP,16.30,28.32,Top,0
RSEL,29.20,21.82,Top,270
RSENSE1,24.00,19.34,Top,0
RSENSE2,24.00,15.30,Top,0
RST_CAP,14.30,4.70,Top,0
RVC1,27.60,29.10,Top,90
RVC2,31.30,25.20,Top,90
RVC3,33.40,21.80,Top,270
RVINI,16.30,26.28,Top,180
RVMP,16.30,30.36,Top,0
RVSS,31.30,18.72,Top,270
T3,4.40,15.80,Top,90
T4,4.50,19.00,Top,90
U$1,30.60,7.00,Top,270
U$2,18.80,9.60,Top,270
U$6,23.90,24.80,Top,270
